epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.8222,1.17118,2.58268,1.50434,0.00083,1,0.10205,0.08483,0.59724,6.05024,1.23191,0.00012,0.00012,0.00012
2,146.06,1.12465,1.91585,1.40112,0.09027,0.25,0.16277,0.12666,0.72137,5.9334,1.19118,0.000254852,0.000254852,0.000254852
3,207.005,1.0382,1.63359,1.33762,0.11652,0.5,0.21373,0.17071,0.63444,5.58558,1.11091,0.00038416,0.00038416,0.00038416
4,266.627,1.05311,1.53688,1.35242,0.1885,1,0.199,0.138,0.67012,5.59554,1.15078,0.000507924,0.000507924,0.000507924
5,330.416,1.09342,1.58276,1.39268,0.18698,0.25,0.16678,0.10183,0.93021,7.25685,1.39011,0.000626144,0.000626144,0.000626144
6,393.217,1.08357,1.48067,1.38699,0.12292,0.25,0.11687,0.07506,1.00525,8.08321,1.49337,0.00073882,0.00073882,0.00073882
7,465.576,1.06974,1.45266,1.33516,0.28417,0.75,0.26396,0.16132,1.15065,7.75661,1.64219,0.000845952,0.000845952,0.000845952
8,524.172,1.00954,1.31831,1.28474,0.14631,0.5,0.11806,0.07059,1.12421,7.88896,1.82264,0.00094754,0.00094754,0.00094754
9,583.956,1.09375,1.31633,1.33316,0.13992,0.25,0.10109,0.05371,1.48373,10.1175,1.92354,0.00104358,0.00104358,0.00104358
10,643.815,1.10732,1.35461,1.28379,0.07359,0.5,0.06968,0.0408,1.09467,9.68069,1.5505,0.00113408,0.00113408,0.00113408
11,701.912,1.10958,1.32695,1.30362,0.19884,0.25,0.13401,0.10034,1.05676,6.96914,1.45529,0.00121904,0.00121904,0.00121904
12,763.097,1.04255,1.30318,1.30666,0.2347,0.5,0.26504,0.13193,1.64965,20.2866,3.54789,0.00129845,0.00129845,0.00129845
13,821.791,1.1335,1.3489,1.40219,0.11931,0.75,0.11698,0.04441,1.95587,20.3825,3.01751,0.00137232,0.00137232,0.00137232
14,880.363,1.08725,1.27141,1.34027,0.33289,0.75,0.27958,0.12889,1.93208,10.0411,3.10292,0.00144064,0.00144064,0.00144064
15,937.825,1.06677,1.17027,1.35434,0.17983,1,0.26536,0.1699,1.1362,12.6129,1.48408,0.0014456,0.0014456,0.0014456
16,996.229,0.98893,1.14255,1.25068,0.16821,0.75,0.36819,0.26572,1.28633,11.1595,1.93244,0.001406,0.001406,0.001406
17,1056.39,0.99387,1.10434,1.29186,0.26699,0.5,0.41221,0.31569,1.24738,8.79031,1.89756,0.0013664,0.0013664,0.0013664
18,1113.35,1.06792,1.23226,1.37022,0.39608,0.75,0.59024,0.2573,1.24413,8.85776,1.63461,0.0013268,0.0013268,0.0013268
19,1171.43,1.04462,1.29374,1.36428,0.20706,0.5,0.17905,0.11566,1.17604,7.50901,1.50589,0.0012872,0.0012872,0.0012872
20,1232.38,1.05837,1.21487,1.34564,0.2076,0.75,0.2051,0.1478,1.23888,6.39821,1.66088,0.0012476,0.0012476,0.0012476
21,1292.35,0.95945,1.09836,1.26354,0.23561,1,0.33133,0.25992,1.04423,6.49508,1.48745,0.001208,0.001208,0.001208
22,1355.6,0.98728,1.08577,1.28073,0.57201,1,0.895,0.6444,1.06623,7.678,1.4903,0.0011684,0.0011684,0.0011684
23,1414.4,0.92289,0.99341,1.23707,0.51782,0.75,0.48187,0.4095,1.2287,7.96302,1.91045,0.0011288,0.0011288,0.0011288
24,1472.06,0.93284,0.95008,1.21131,0.30397,1,0.4975,0.30113,1.49003,7.25526,2.37823,0.0010892,0.0010892,0.0010892
25,1528.85,0.93107,0.98805,1.25161,0.32787,1,0.37028,0.22433,1.35033,6.24313,1.85092,0.0010496,0.0010496,0.0010496
26,1585.54,0.95823,0.96645,1.2019,0.22282,0.75,0.2175,0.16046,0.74915,6.73466,1.15645,0.00101,0.00101,0.00101
27,1644.4,0.93896,0.91367,1.23789,0.36971,0.75,0.33357,0.30021,0.47773,7.64407,1.00765,0.0009704,0.0009704,0.0009704
28,1704.89,0.93153,0.94339,1.2115,0.23984,0.5,0.36598,0.3207,0.77652,8.71508,1.13265,0.0009308,0.0009308,0.0009308
29,1766.51,0.88395,0.91348,1.2157,0.26086,1,0.48218,0.37803,0.89506,9.46884,1.18746,0.0008912,0.0008912,0.0008912
30,1825.57,0.89011,0.85676,1.23233,0.54222,0.89778,0.61571,0.51317,0.79723,8.28293,1.13553,0.0008516,0.0008516,0.0008516
31,1881.97,0.85742,0.89659,1.19637,0.47488,0.75,0.6825,0.56452,0.77623,7.84292,1.17932,0.000812,0.000812,0.000812
32,1942.28,0.85666,0.88072,1.1511,0.32446,1,0.56333,0.4306,0.91858,8.83884,1.19883,0.0007724,0.0007724,0.0007724
33,2000.73,0.80198,0.81679,1.15289,0.32418,1,0.66167,0.50844,0.85874,8.32465,1.18256,0.0007328,0.0007328,0.0007328
34,2058.57,0.86638,0.87174,1.17276,0.32744,1,0.58986,0.46253,0.69669,7.41375,1.1096,0.0006932,0.0006932,0.0006932
35,2116.43,0.86371,0.83974,1.18526,0.3414,1,0.56611,0.48046,0.72628,7.72995,1.10327,0.0006536,0.0006536,0.0006536
36,2174,0.88906,0.92528,1.20409,0.20628,1,0.28429,0.23505,0.71911,6.55886,1.12495,0.000614,0.000614,0.000614
37,2231.57,0.82468,0.77532,1.13772,0.22227,1,0.26533,0.22717,0.85339,5.65518,1.20615,0.0005744,0.0005744,0.0005744
38,2289.04,0.8587,0.75655,1.14218,0.22722,0.75,0.28167,0.23976,0.68509,4.70024,1.09924,0.0005348,0.0005348,0.0005348
39,2346.17,0.79169,0.77754,1.13695,0.24038,0.75,0.22973,0.20676,0.52367,4.85497,0.9968,0.0004952,0.0004952,0.0004952
