epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5512,1.17105,2.75999,1.54008,0.00121,1,0.13024,0.08742,0.93093,5.10905,1.60111,4e-05,4e-05,4e-05
2,84.2822,1.25412,2.80769,1.56761,0.00121,1,0.23412,0.17849,0.70414,4.80151,1.27663,9.901e-05,9.901e-05,9.901e-05
3,131.317,1.29309,2.4952,1.61601,0.00121,1,0.23412,0.18162,0.65392,4.8618,1.27144,0.000156832,0.000156832,0.000156832
4,177.583,1.1728,2.16351,1.47145,0.00121,1,0.32665,0.20902,0.77449,5.02297,1.2784,0.000213466,0.000213466,0.000213466
5,214.242,1.16298,1.84776,1.39472,0.00121,1,0.26619,0.20167,0.77891,4.54367,1.18561,0.000268912,0.000268912,0.000268912
6,251.785,1.19364,1.68112,1.46292,0.00121,1,0.21113,0.15779,0.75625,4.56832,1.24016,0.00032317,0.00032317,0.00032317
7,285.215,1.10874,1.79103,1.4316,0.00121,1,0.13472,0.09568,0.90882,4.91487,1.39118,0.00037624,0.00037624,0.00037624
8,315.765,0.97245,1.60197,1.30327,0.00121,1,0.24553,0.18071,1.08571,4.84818,1.46463,0.000428122,0.000428122,0.000428122
9,349.132,1.03334,1.62848,1.32034,0.00121,1,0.51301,0.38321,1.11848,4.87123,1.5887,0.000478816,0.000478816,0.000478816
10,378.053,1.0324,1.64136,1.34356,0.26743,0.5,0.44168,0.33477,1.14614,4.73999,1.70207,0.000528322,0.000528322,0.000528322
11,427.852,1.02731,1.62827,1.33452,0.56155,0.75,0.56559,0.47704,1.06986,5.01348,1.62921,0.00057664,0.00057664,0.00057664
12,459.133,1.0027,1.50814,1.26478,0.48427,0.5,0.5428,0.49736,1.03983,5.06619,1.44672,0.00062377,0.00062377,0.00062377
13,486.927,0.9869,1.6108,1.3429,0.40493,0.5,0.35861,0.29641,0.99457,5.28656,1.49817,0.000669712,0.000669712,0.000669712
14,515.173,0.95273,1.32893,1.30304,0.31666,0.46874,0.38692,0.27269,1.02324,5.13921,1.52969,0.000714466,0.000714466,0.000714466
15,543.985,1.07053,1.6884,1.35075,0.28394,0.49627,0.31784,0.23113,1.18458,5.23531,1.74367,0.000758032,0.000758032,0.000758032
